tempo,direita,esquerda
319,34.072,34.246
320,34.035,34.269
321,34.035,34.325
322,34.049,34.456
323,34.11,34.334
324,34.115,34.339
325,34.082,34.283
326,34.026,34.208
327,34.035,34.166
328,34.035,34.334
329,34.04,34.302
330,34.077,34.143
331,34.082,34.199
332,34.063,34.236
333,34.058,34.274
334,34.105,34.255
335,34.072,34.339
336,34.068,34.334
337,34.1,34.255
338,34.063,34.33
339,34.035,34.278
340,34.035,34.255
341,34.049,34.283
342,33.993,34.278
343,34.011,34.348
344,33.997,34.376
345,34.04,34.302
346,34.058,34.288
347,34.054,34.297
348,34.044,34.334
349,34.03,34.362
350,34.096,34.297
351,34.105,34.334
352,34.021,34.241
353,34.04,34.255
354,34.044,34.348
355,34.04,34.306
356,34.002,34.316
357,33.96,34.292
358,34.021,34.227
359,34.035,34.241
360,34.002,34.288
361,34.002,34.236
362,34.03,34.316
363,34.063,34.246
364,34.011,34.208
365,34.007,34.255
366,34.011,34.302
367,34.049,34.325
368,34.054,34.227
369,34.03,34.269
370,34.035,34.274
371,34.026,34.269
372,34.007,34.264
373,33.988,34.278
374,33.932,34.297
375,33.899,34.25
376,33.932,34.227
377,33.955,34.26
378,33.955,34.241
379,33.979,34.222
380,34.035,34.199
381,33.927,34.189
382,33.913,34.26
383,33.993,34.119
384,33.983,34.255
385,33.965,34.175
386,33.908,34.189
387,33.904,34.166
388,33.969,34.115
389,33.993,34.269
390,33.941,34.217
391,33.927,34.292
392,33.946,34.278
393,33.969,34.297
394,33.96,34.232
395,33.913,34.232
396,33.932,34.316
397,33.932,34.306
398,33.918,34.278
399,33.951,34.217
400,33.96,34.217
401,33.983,34.232
402,34.007,34.297
403,33.951,34.199
404,33.946,34.208
405,33.993,34.264
406,33.829,34.283
407,33.922,34.25
408,33.899,34.236
409,33.941,34.199
410,33.936,34.208
411,33.974,34.203
412,33.983,34.325
413,33.983,34.18
414,34.007,34.302
415,34.011,34.274
416,34.068,34.25
417,34.03,34.232
418,34.068,34.241
419,34.007,34.306
420,34.021,34.152
421,34.016,34.194
422,33.993,34.208
423,33.997,34.246
424,33.946,34.25
425,33.979,34.255
426,33.969,34.325
427,33.936,34.292
428,33.936,34.246
429,34.049,34.302
430,34.058,34.283
431,34.007,34.236
432,34.03,34.26
433,33.983,34.283
434,34.026,34.227
435,33.993,34.255
436,33.983,34.339
437,33.969,34.241
438,33.979,34.316
439,33.979,34.278
440,33.979,34.25
441,33.974,34.283
442,33.904,34.236
443,34.016,34.199
444,33.955,34.241
445,33.979,34.203
446,33.979,34.232
447,33.908,34.227
448,33.908,34.199
449,33.932,34.292
450,33.927,34.274
451,33.932,34.292
452,33.941,34.316
453,33.969,34.26
454,33.974,34.264
455,33.904,34.232
456,33.955,34.297
457,33.927,34.175
458,33.969,34.316
459,33.899,34.217
460,33.955,34.302
461,33.983,34.236
462,33.908,34.246
463,33.997,34.189
464,33.871,34.175
465,33.847,34.213
466,33.861,34.185
467,33.922,34.232
468,33.908,34.115
469,33.932,34.091
470,33.918,34.217
471,33.988,34.236
472,33.932,34.175
473,33.904,34.115
474,33.89,34.199
475,33.918,34.222
476,33.908,34.199
477,33.838,34.185
478,33.908,34.213
479,33.922,34.152
480,33.904,34.161
481,33.875,34.152
482,33.89,34.124
483,33.894,34.26
484,33.885,34.175
485,33.861,34.175
486,33.871,34.255
487,33.969,34.227
488,33.922,34.222
489,33.932,34.175
490,33.894,34.129
491,33.857,34.213
492,33.922,34.171
493,33.918,34.236
494,33.899,34.18
495,33.969,34.199
496,33.857,34.11
497,33.843,34.208
498,33.857,34.194
499,33.88,34.171
500,33.819,34.175
501,33.871,34.18
502,33.8,34.157
503,33.843,34.138
504,33.857,34.274
505,33.88,34.147
506,33.875,34.077
507,33.861,34.072
508,33.946,34.185
509,33.96,34.143
510,33.8,34.147
511,33.861,34.138
512,33.89,34.129
513,33.918,34.105
514,33.908,34.086
515,33.918,34.185
516,33.918,34.222
517,33.861,34.058
518,33.885,34.152
519,33.857,34.138
520,33.904,34.157
521,33.904,34.171
522,33.899,34.091
523,33.824,34.133
524,33.955,34.143
525,33.875,34.143
526,33.866,34.091
527,33.8,34.105
528,33.819,34.11
529,33.847,34.124
530,33.843,34.086
531,33.805,34.138
532,33.866,34.161
533,33.861,34.194
534,33.936,34.133
